lemma,pos,ls_key,short_def,found
tertius,ADV,tertius,"tertĭus, a, um, num.",True
tunc,ADV,tunc,"tunc, adv.",True
u,SCONJ,u,"U, u (orig.",True
ualor,VERB,valor,"vălor, ōris, m.",True
uel,CCONJ,vel,"vĕl, conj.",True
uenalis,NOUN,venalis,"vēnālis, e, adj.",True
uendo,VERB,vendo,"vendo, dĭdi, dĭtum, 3, v.",True
uideo,VERB,video,"vĭdĕo, vīdi, vīsum, 2 (viden', i.e.",True
unus,DET,unus,ūnus (old forms OINOS and OENOS;,True
usus,NOUN,usus1,"ūsus, a, um, Part.",True
ut,SCONJ,ut,"ut or ŭtī (old form ŭtei, C.",True
utor,VERB,utor,"ūtor (old form oetor, oesus, etc., from oitor, oisus, Lex.",True
