lemma,pos,translation,all_senses,ls_short,ls_found
circunstantia,NOUN,"race course; circus in Rome, celebration of games; circle","race course; circus in Rome, celebration of games; circle; orbit",,False
circunstantium,NOUN,"race course; circus in Rome, celebration of games; circle","race course; circus in Rome, celebration of games; circle; orbit",,False
cognosco,VERB,"become acquainted with/aware of; recognize; learn, find to be","become acquainted with/aware of; recognize; learn, find to be; inquire/examine","co-gnosco, gnōvi, gnĭtum, 3 (tempp.",True
communis,ADJ,"fortify strongly, entrench, barricade; strengthen, secure, reinforce","fortify strongly, entrench, barricade; strengthen, secure, reinforce","com-mūnis (comoinis, S.",True
commutatiuus,ADJ,change; alteration,change; alteration,,False
comparatio,NOUN,construction; material/constituent; combination/conjunction,construction; material/constituent; combination/conjunction; relationship,"compărātĭo (conp-), ōnis, f.",True
comprehendents,VERB,"catch/seize/grasp firmly; arrest; take hold/root/fire, ignite","catch/seize/grasp firmly; arrest; take hold/root/fire, ignite; conceive (baby)",,False
conclus,NOUN,confined space; conclusion in a syllogism (L+S),confined space; conclusion in a syllogism (L+S),,False
conclusio,NOUN,"rounded arrangement of sentence; peroration, logical conclusion; deduction","rounded arrangement of sentence; peroration, logical conclusion; deduction","conclūsĭo, ōnis, f.",True
consisto,VERB,"stop/stand/halt/cease; pause, linger; stop spreading/flowing","stop/stand/halt/cease; pause, linger; stop spreading/flowing; take a position","con-sisto, stĭti, stĭtum, 3, v.",True
consuetudinarius,NOUN,"usual, ordinary, customary","usual, ordinary, customary","consŭētūdĭnārĭus, a, um, adj.",True
consuetudo,NOUN,"habit/custom/usage/way; normal/general/customary practice, tradition/convention","habit/custom/usage/way; normal/general/customary practice, tradition/convention","consŭētūdo, ĭnis, f.",True
contraho,VERB,"enter into/upon relationship/agreement/business/marriage/loan/battle, deal with","enter into/upon relationship/agreement/business/marriage/loan/battle, deal with","con-trăho, xi, ctum, 3, v.",True
controuersia,NOUN,"controversy/dispute; debate; moot case debated in school, forensic exercise","controversy/dispute; debate; moot case debated in school, forensic exercise","contrōversĭa, ae (dat.",True
conuentionalis,NOUN,based on an agreement; of/pertaining to agreement/compact (L+S); conventional,based on an agreement; of/pertaining to agreement/compact (L+S); conventional,"conventĭōnālis, e, adj.",True
coram,ADV,"in person, face-to-face; in one's presence, before one's eyes; publicly/openly","in person, face-to-face; in one's presence, before one's eyes; publicly/openly","cōram, adv.",True
culis,VERB,buttocks; posterior; anus,buttocks; posterior; anus; (rude),,False
cum,SCONJ,"when, at the time/on each occasion/in the situation that; after; since/although","when, at the time/on each occasion/in the situation that; after; since/although",Cum (ante-class.,True
de,ADP,"down/away from, from, off; about, of, concerning; according to","down/away from, from, off; about, of, concerning; according to; with regard to","dē, adv.: of place, down, only in the phrase susque deque, q.",True
debeo,VERB,"owe; be indebted/responsible for/obliged/bound/destined; ought, must, should","owe; be indebted/responsible for/obliged/bound/destined; ought, must, should","dēbĕo (dehibeo, Plaut.",True
deus,NOUN,god,god,"dĕus, i (voc.",True
diseut,SCONJ,is (Roman ruler of the underworld); (originally) deity/godhead (L+S); Jupiter,is (Roman ruler of the underworld); (originally) deity/godhead (L+S); Jupiter,,False
distantia,NOUN,distance; difference,distance; difference,"distantĭa, ae, f.",True
distributiuus,NOUN,distributive,distributive,,False
diuisibilis,VERB,divisible,divisible,"dīvīsĭbĭlis, e, adj.",True
dubius,ADJ,doubt; question,doubt; question,"dŭbĭus, a, um, adj.",True
emptio,VERB,"purchase/acquisition, thing bought; deed of purchase; act of buying/purchasing","purchase/acquisition, thing bought; deed of purchase; act of buying/purchasing","emptĭo (emt-), ōnis, f.",True
empyreo,VERB,fiery,fiery,,False
ergo,ADV,"therefore; well, then, now","therefore; well, then, now",ergō (rarely with short o in Ov.,True
et,CCONJ,"and, and even; also, even; (et ... et = both ... and)","and, and even; also, even;  (et ... et = both ... and)","ĕt, conj.",True
etiam,ADV,"and also, besides/furthermore, in addition/as well; even, actually; yes/indeed","and also, besides/furthermore, in addition/as well; even, actually; yes/indeed","ĕtĭam, conj.",True
ex,ADP,"out of, from; by reason of; according to","out of, from; by reason of; according to; because of, as a result of","ex or ē (ex always before vowels, and elsewh.",True
excessus,VERB,departure; death; digression,departure; death; digression; departure from standard; B:protuberance; excess,"excessus, ūs, m.",True
excludo,VERB,"shut out, shut off; remove; exclude","shut out, shut off; remove; exclude; hinder, prevent","ex-clūdo, si, sum, 3 (perf.",True
exemplum,NOUN,"example, sample, specimen; instance; precedent, case","example, sample, specimen; instance; precedent, case; warning, deterrent","exemplum, i, n.",True
expello,VERB,"drive out, expel, banish; disown, reject","drive out, expel, banish; disown, reject","ex-pello, pŭli, pulsum, 3, v.",True
g,X,,,"G, g, indecl.",True
geometricus,ADJ,geometer,geometer,"gĕōmē^trĭcus, a, um, adj., = γεωμετρικός, of or belonging to geometry, geometrical: geometricum quid",True
grannorus,NOUN,grain; seed,grain; seed,,False
habeo,VERB,"have, hold, consider, think, reason; manage, keep; spend/pass (time)","have, hold, consider, think, reason; manage, keep; spend/pass (time)","hăbĕo, ŭi, ĭtum, 2 (archaic perf.",True
harena,NOUN,"sand, grains of sand; sandy land or desert; seashore","sand, grains of sand; sandy land or desert; seashore; arena, place of contest","hărēna (better than ărēna, Bramb.",True
hic,DET,"here, in this place; in the present circumstances","here, in this place; in the present circumstances","hīc, haec, hōc (gen.",True
homo,NOUN,"man, human being, person, fellow; [novus homo => nouveau riche]","man, human being, person, fellow; [novus homo => nouveau riche]","hŏmo, ĭnis (archaic form hemonem hominem dicebant, Paul.",True
iam,ADV,"now, already, by/even now; besides; [non ~ => no longer","now, already, by/even now; besides; [non ~ => no longer; ~ pridem => long ago]","jam, adv.",True
ignorantia,NOUN,ignorance; lack of knowledge; absence of data on which to make judgment,ignorance; lack of knowledge; absence of data on which to make judgment,"ignōrantĭa, ae, f.",True
ignotus,ADJ,"unknown, strange; unacquainted with, ignorant of","unknown, strange; unacquainted with, ignorant of","ignōtus, a, um, Part., from ignosco.",True
ille,DET,that; those (pl.); also DEMONST,that; those (pl.); also DEMONST; that person/thing; the well known; the former,"ille (old orthog., olle), a, ud (ollus, a, um, Enn.",True
in,ADP,"in, on, at (space); in accordance with/regard to/the case of; within (time)","in, on, at (space); in accordance with/regard to/the case of; within (time)","in (old forms endŏ and indŭ, freq.",True
inaequalitas,NOUN,irregularity of shape/distribution; patchiness/unevenness; inequality,irregularity of shape/distribution; patchiness/unevenness; inequality; inequity,"ĭnaequālĭtas, ātis, f.",True
indiuisibilis,ADJ,"indivisible, inseparable","indivisible, inseparable","indīvīsĭbĭlis, e, adj.",True
induco,VERB,"lead in, bring in (performers); induce, influence; introduce","lead in, bring in (performers); induce, influence; introduce","in-dūco, xi, ctum, 3 (imp.",True
interse,NOUN,"be/lie between, be in the midst; be present; take part in","be/lie between, be in the midst; be present; take part in; be different",,False
intrinsecus,ADJ,"internally, on/in the inside; from within; inwards, to the inside","internally, on/in the inside; from within; inwards, to the inside","intrinsĕcus, a, um, adj., inward (late Lat.): lumina cordis intrinseca, Cassiod.",True
ipse,DET,himself/herself/itself; the very/real/actual one; in person,himself/herself/itself; the very/real/actual one; in person; themselves (pl.),"ipse (ipsus, Cato, R.",True
is,PRON,"go, walk; march, advance; pass","go, walk; march, advance; pass; flow; pass (time); ride; sail","is, ĕa, id (m.",True
ita,ADV,"thus, so; therefore","thus, so; therefore","ĭta, adv.",True
ius,NOUN,gravy; broth; soup,gravy; broth; soup; sauce,"jūs, jūris, n.",True
iuste,ADJ,"justly, rightly, lawfully, legitimately, justifiably; properly, honorably","justly, rightly, lawfully, legitimately, justifiably; properly, honorably","justē, adv., v.",True
iustitia,NOUN,justice; equality; righteousness (Plater),justice; equality; righteousness (Plater),"justĭtĭa, ae, f.",True
iustus,ADJ,justice; what is fair/equitable/right/due/proper; funeral rites/offerings,justice; what is fair/equitable/right/due/proper; funeral rites/offerings,"justus, a, um, adj.",True
iuxta,ADP,"nearly; near, close to, near by, hard by, by the side of; just as, equally","nearly; near, close to, near by, hard by, by the side of; just as, equally","juxtā, adv.",True
latitudo,NOUN,"width, breadth, extent","width, breadth, extent","lātĭtūdo, ĭnis, f.",True
legalis,NOUN,"legal, of/concerned with law","legal, of/concerned with law","lēgālis, e, adj.",True
lex,NOUN,"law; motion, bill, statute; principle","law; motion, bill, statute; principle; condition","lex, lēgis, f.",True
liber,NOUN,children (pl.); (sg. VOC) child,children (pl.); (sg. VOC) child,"līber, ĕri (gen.",True
magis,ADV,"to greater extent, more nearly; rather, instead; more","to greater extent, more nearly; rather, instead; more; (forms COMP w/DJ)","magis, adv., v.",True
magnus,ADJ,large/great/big/vast/huge; much; powerful,large/great/big/vast/huge; much; powerful; tall/long/broad; extensive/spacious,"magnus, a, um (archaic gen.",True
mare,NOUN,sea; sea water,sea; sea water,"măre, is (abl.",True
mus,NOUN,mouse,mouse,"Mūs, muris, m., a Roman surname, e.",True
natura,NOUN,nature; birth; character,nature; birth; character,"nātūra, ae, f.",True
naturalis,ADJ,physical/natural scientist; physicist; natural philosopher,physical/natural scientist; physicist; natural philosopher,"nātūrālis, e, adj.",True
nobilis,ADJ,nobles (pl.),nobles (pl.),"nōbĭlis, e (old collat.",True
non,PART,"ones (pl.), abb. Non.; 7th of month, March, May, July, Oct., 5th elsewhen","ones (pl.), abb. Non.; 7th of month, March, May, July, Oct., 5th elsewhen",nōn (old collat.,True
nos,PRON,umerius (Roman praenomen); (abb. N./Num.),umerius (Roman praenomen); (abb. N./Num.),"nōs, nostrum, etc., the plur.",True
numero,ADV,"quickly, rapidly; prematurely, too soon; too much(?)","quickly, rapidly; prematurely, too soon; too much(?)","nŭmĕro, āvi, ātum, 1, v.",True
numerus,NOUN,number/sum/total/rank; (superior) numerical strength/plurality; category,number/sum/total/rank; (superior) numerical strength/plurality; category; tally,"nŭmĕrus, i, m.",True
occidentalis,NOUN,of/pertaining to/connected with/coming from the west; westerly,of/pertaining to/connected with/coming from the west; westerly,"occĭdentālis, e, adj.",True
omnis,DET,"all men (pl.), all persons","all men (pl.), all persons","omnĭs, e (omnia is freq.",True
orbis,NOUN,circle; territory/region; sphere,circle; territory/region; sphere; [orbis terrarum => world/(circle of lands)],"orbis, is (nom.",True
orientalis,ADJ,"asterner, one from the East; Oriental; (F) wild beasts hunting/exhibition","asterner, one from the East; Oriental; (F) wild beasts hunting/exhibition","ŏrĭentālis, e, adj.",True
pars,NOUN,"part, region; share; direction","part, region; share; direction; portion, piece; party, faction, side","pars, partis (gen.",True
per,ADP,"through (space); during (time); by, by means of","through (space); during (time); by, by means of","pĕr-astūtŭlus, a, um, adj., very crafty: mulier, App.",True
perago,VERB,disturb; finish; kill,"disturb; finish; kill; carry through to the end, complete","pĕr-ăgo, ēgi, actum (inf.",True
perspicio,VERB,see through; examine; observe,see through; examine; observe,"perspĭcĭo, spexi, spectum, 3, v.",True
possum,VERB,"be able, can; [multum  posse => have much/more/most influence/power]","be able, can; [multum  posse => have much/more/most influence/power]","possum, pŏtŭi, posse, v.",True
post,ADP,"behind, afterwards, after","behind, afterwards, after","post (form poste, Enn.",True
postea,ADV,afterwards,afterwards,postĕā (in some edd.,True
prerium,ADJ,praetor (official elected by the Romans who served as a judge); abb. pr.,praetor (official elected by the Romans who served as a judge); abb. pr.,,False
pretium,NOUN,price/value/worth; reward/pay; money,price/value/worth; reward/pay; money; prayer/request; [~ natalis => weregeld],"prĕtĭum, ii, n.",True
probabilis,ADJ,commendable/admirable; justifiable; plausible/credible/demonstrable,commendable/admirable; justifiable; plausible/credible/demonstrable; probable,"prŏbābĭlis, e, adj.",True
probo,VERB,proof; evidence,proof; evidence,"prŏbo, āvi, ātum, āre, v.",True
propter,ADP,near; on account of; by means of,near; on account of; by means of; because of,"propter, adv.",True
publicus,ADJ,public officer,public officer,pūblĭcus (in inscrr.,True
quaestio,NOUN,"questioning, inquiry; investigation","questioning, inquiry; investigation","questĭo, ōnis, f.",True
quam,ADV,"how, how much; as, than; [quam + superlative => as ... as possible]","how, how much; as, than; [quam + superlative => as ... as possible]","quam (archaic form quamde or quande: quamde pro quam usos esse antiquos, cum multi veteres testimoni",True
qui,PRON,be able,be able,"quī, adv.",True
quia,SCONJ,because,because,"quĭă, conj.",True
quicumque,DET,be able,be able,"quīcumque (or -cunque), quaecumque, quodcumque (also separately: cum quibus erat cumque una, Ter.",True
quidem,PART,"indeed (postpositive), certainly, even, at least; ne...quidem -- not...even","indeed (postpositive), certainly, even, at least; ne...quidem -- not...even","quĭdem, adv.",True
quis,PRON,be able,be able,"quis, quid (old nom.",True
ratio,NOUN,"account, reckoning, invoice; plan; prudence","account, reckoning, invoice; plan; prudence; method; reasoning; rule; regard","rătĭo, ōnis (abl.",True
realis,ADJ,real,real,,False
reputo,VERB,"think over, reflect","think over, reflect","rĕ-pŭto, āvi, ātum, 1, v.",True
res,NOUN,res; (20th letter of Hebrew alphabet); (transliterate as R),res; (20th letter of Hebrew alphabet); (transliterate as R),"rēs, rei (rēi with e long;",True
rescindo,VERB,"cut out; cut down, destroy; annul","cut out; cut down, destroy; annul; rescind","rē-scindo, scĭdi, scissum, 3, v.",True
respectus,NOUN,"looking back (at); refuge, regard, consideration (for)","looking back (at); refuge, regard, consideration (for)","respectus, a, um, Part.",True
restitutio,NOUN,rebuilding; reinstatement,rebuilding; reinstatement,"rēstĭtūtĭo, ōnis, f.",True
resulto,VERB,"reverberate, resound; re-echo; rebound, spring back","reverberate, resound; re-echo; rebound, spring back","rĕsulto, no perf., ātum, 1, v.",True
rex,NOUN,king,king,"rex, rēgis (gen.",True
saluo,NOUN,"well, unharmed, sound; alive; safe, saved","well, unharmed, sound; alive; safe, saved","salvo, āvi, ātum, 1, v.",True
secundum,ADP,"after; according to; along/next to, following/immediately after, close behind","after; according to; along/next to, following/immediately after, close behind","sĕcundum, adv.",True
secundus,ADJ,two (pl.),two (pl.),"sĕcundus, a, um, adj.",True
sed,CCONJ,"but, but also; yet; however, but in fact/truth","but, but also; yet; however, but in fact/truth; not to mention; yes but","sēd = sine, v.",True
sententia,NOUN,"opinion, feeling, way of thinking; thought, meaning, sentence/period; purpose","opinion, feeling, way of thinking; thought, meaning, sentence/period; purpose","sententĭa, ae, f.",True
sequor,VERB,follow; escort/attend/accompany; aim at/reach after/strive for/make for/seek,follow; escort/attend/accompany; aim at/reach after/strive for/make for/seek,"sĕquor, sĕcūtus (also written sequutus;",True
si,SCONJ,"if, if only; whether; [quod si/si quis or quid => but if/if anyone or anything]","if, if only; whether; [quod si/si quis or quid => but if/if anyone or anything]",sī (orig.,True
sicut,SCONJ,"as, just as; like; in same way","as, just as; like; in same way; as if; as it certainly is; as it were",sīc-ut and (far less.,True
siue,CCONJ,or if; or; [sive ... sive => whether ... or],or if; or; [sive ... sive => whether ... or],sīve (old orthog.,True
solus,ADV,"loosen, release, unbind, untie, free; open; set sail","loosen, release, unbind, untie, free; open; set sail; scatter; pay off/back","Sŏlūs, untis, f., = Σολοῦς, a town on the northern coast of Sicily, now Castello di Solanto, Plin.",True
sui,PRON,"his men (pl.), his friends","his men (pl.), his friends","sŭi (gen.), dat.",True
sum,AUX,"highest, the top of; greatest; last","highest, the top of; greatest; last; the end of","sum, fŭi, esse (2d pers.",True
sumo,VERB,"highest, the top of; greatest; last","highest, the top of; greatest; last; the end of","sūmo, sumpsi, sumptum, 3 (sync.",True
suus,DET,"his men (pl.), his friends","his men (pl.), his friends","sŭus, a, um (old form sos, sa, sum;",True
taxo,VERB,yew-tree,yew-tree,"taxo, āvi, ātum, 1, v.",True
teneo,VERB,"hold, keep; comprehend; possess","hold, keep; comprehend; possess; master; preserve; [tenere memoria => remember]","tĕnĕo, tĕnŭi, tentum, 2 (perf.",True
terra,NOUN,"earth, land, ground; country, region","earth, land, ground; country, region","terra (archaic tera, Varr.",True
tertius,ADV,repeat three times,repeat three times,"tertĭus, a, um, num.",True
tunc,ADV,"then, thereupon, at that time","then, thereupon, at that time","tunc, adv.",True
u,SCONJ,"you (pl.), ye","you (pl.), ye","U, u (orig.",True
ualor,VERB,economic value; moral value,economic value; moral value,"vălor, ōris, m.",True
uel,CCONJ,"even, actually; or even, in deed; or","even, actually; or even, in deed; or","vĕl, conj.",True
uenalis,NOUN,for sale; (that is) on hire; open to the influence of bribes,for sale; (that is) on hire; open to the influence of bribes,"vēnālis, e, adj.",True
uendo,VERB,sell,sell,"vendo, dĭdi, dĭtum, 3, v.",True
uideo,VERB,"see, look at; consider; (PASS) seem, seem good, appear, be seen","see, look at; consider; (PASS) seem, seem good, appear, be seen","vĭdĕo, vīdi, vīsum, 2 (viden', i.e.",True
unus,DET,one,one,ūnus (old forms OINOS and OENOS;,True
usus,NOUN,"use, enjoyment; experience, skill, advantage; custom","use, enjoyment; experience, skill, advantage; custom","ūsus, ūs, m.",True
ut,SCONJ,"to (+ subjunctive), in order that/to; how, as, when, while; even if","to (+ subjunctive), in order that/to; how, as, when, while; even if","ut or ŭtī (old form ŭtei, C.",True
utor,VERB,"to (+ subjunctive), in order that/to; how, as, when, while; even if","to (+ subjunctive), in order that/to; how, as, when, while; even if","ūtor (old form oetor, oesus, etc., from oitor, oisus, Lex.",True
